round,heights,series,VL,dipt,morph,г|ҥ,н|ҥ,нь|й,assim,CL,г|к,ч|с,һ|ч,б|м,к|х,һ|с,г|ҕ,final,Com,Total,SIM,ҺАКАЛЫЫ,САХАЛЫЫ,НЬУУЧЧАЛЫЫ,GROUP,POS,,ҺАКАЛЫЫ_ex,САХАЛЫЫ_ex,НЬУУЧЧАЛЫЫ_ex,Agent
,,,,,,,,,,,,,,,,,,,,,100,аагааччы,ааҕааччы,читатель,1,n,занятия,аагааччылар мунньактара,ааҕааччылар мунньахтара,встреча читателей,1
,,,,,,,,,,,,,,,,,1,,11,12,92,аагын,ааҕын,считать себя,1,v,качества человека,күүстээгинэн аагынар,күүстээҕинэн ааҕынар,он считает себя сильным,
,,,,,,,,,,,,,,,,,1,,11,12,92,аагыс,ааҕыс,считаться,1,v,качества человека,гини тугу да ааксыбат,кини тугу да аахсыбат,он ни с чем не считается,
,,,,,,,,,,,,,,,,,1,,8,9,89,аагыы,ааҕыы,"счёт, чтение",1,n,занятия,карчы аагыыта,харчы ааҕыыта,подсчёт денег,
,,,,,,,,,,,,,,,,,,1,5,6,84,аак,аах,"считать, читать",1,v,занятия,тыӈнык аак,иһиллэр гына аах,читай вслух,
,,,,,,,,,,,,,,,,,,1,15,15,100,ааксыс,аахсыс,рассчитываться,1,v,общество,күнүскү ас иһин ааксыс,күнүскү аһылык иһин аахсыс,расплатись за обед,
,,,,,,,,,,,,,,,,,,1,15,15,100,аксаан,ахсаан,"число, счёт",1,n,,муора агыйак аксааннаак дьоно,хотугу аҕыйах ахсааннаах норуот,малочисленный народ Севера,
,,,,,,,,,,,,,,,,,1,,14,15,94,алгас,алҕас,"1. ошибка, промах
2. случайно, нечаянно",2,n,наречие,,,,
,,,1,,,,,,,,,,,,,,,,14,15,94,аайдаан,айдаан,шум,3,n,глаголы звучания,аайдаан таксыбыта,айдаан тахсыбыта,раздался шум,
,,,1,,,,,,,,,,,,,,,1,23,24,96,аайдааннаак,айдааннаах,шумный,3,adj,глаголы звучания,аайдааннаак оголор,айдааннаах оҕолор,шумные дети,
,,,1,,,,,,,,,,,,,,,,14,15,94,аайдаар,айдаар,шуметь,3,v,глаголы звучания,,,,
,,,,,,,,,,,,,,,,,,,,,0,аайдааһан,,бунт,3,n,общество,аайдааһан турбута,,поднялся бунт,
,,,,,,,,,,,,,,,,,,,,,0,,буун <sup>рус</sup>,бунт,3,n,общество,,,,
,,,1,,1,,,,,,,,,,,,,,,,75,аайдай,айдаар,шуметь,3,v,глаголы звучания,,,,
,,,1,,,,,,,,,,,,,,,1,13,15,87,ааймак,аймах,"люди (собирательное), родственники",4,n,отношения,киһи ааймак,киһи аймах,человечество,
,,,,,,,,,,,,,,,,,,,,,100,аайы,аайы,каждый,5,det,местоимение,күн аайы туок эрэ буолар,күн аайы туох эрэ буолар,каждый день что-нибудь случается,
,,,,,,,,,,,,,,,,,,2,14,15,93,аак-маак,аах-маах,"глупый, бестолковый",6,adj,качества человека,аак-мак һордоок,аах-мах сордоох,бестолковый бедняга,
,,,,,,,,,,,,,,,,,,,,,100,акаары <sup>эвенк</sup>,акаары <sup>эвенк</sup>,"глупый, дурак",6,n,качества человека,акаарыгын дуу туок дуу!,акаарыгын дуу тугуй дуу!,ты дурак что ли!,
,,,,,,,,,,,,,,,,,,,,,100,акаарытык <sup>эвенк</sup>,акаарытык <sup>эвенк</sup>,глупо,6,adv,качества человека,гини акаарытык күллэ,кини акаарытык күллэ,он глупо засмеялся,
,,,,,,,,,,,,,,,,,,,,,0,аӈкайан,аппаала,растяпа,6,n,качества человека,"аӈкайан, барытын һүтэрдэ","аппаала, барытын сүтэрдэ","растяпа, всё потерял",
,,,,,,,,,,,,,,,,,,,,,0,аӈкаӈнаа,акаарытык быһыылан,дурачиться,6,v,качества человека,аӈкаӈнаан бүт,акаарытык быһыыланан бүт,перестань дурачиться,
,,,,,,,,,,,,,,,,,,,,,100,аӈыр,аҥыр,"дурак, дурной",6,n,качества человека,аӈыр ытым биэк үрэр,аӈыр ытым наар үрэр ,моя собака-дура все время лает,
,,,,,,,,,,,,,,,,,,,,,100,аал,аал,"подтачивать, тереть",9,v,,һапакиим атакпын аалар,саппыкым атахпын аалар,сапоги мне натирают ноги ,
,,,,,,,,,,,,,,,,,,,,,100,аалын,аалын,"подтачивать себе, натирать себе",9,v,,баһагын аалынар,быһаҕын аалынар,он подтачивает свой нож,
,,,,,,,,,,,,,,,,,,,,,100,аалыы,аалыы,"точение, трение",9,n,,һүгэ аалыыта,сүгэ аалыыта,точение топора,
,,,,,,,,,,,,,,,,,,,,,100,аан,аан,дверь,10,n,дом,"таһынаагы аан (ниж.)
таһааратаагы аан (верх.)",таһынааҕы аан,наружная дверь,
,,,,,,,,,,,,,,,,,,1,14,15,93,ааннаак,ааннаах,имеющий дверь,10,adj,дом,һупту ааннаак кос,супту ааннаах хос,комната со сквозными дверями,
,,,,,,,,,,,,,,,,,,,,,100,аан дойду,аан дойду,"мир, родина",11,n.cmp,природа,бу һир аан дойдум көрдүк,бу сир аан дойдум курдук,эта земля похожа на мою родину,
,,,,,,,,,,,,,,,,,,,,,100,дойду,дойду,"страна, край; родина",11,n,природа,,,,
,,,,,,,,,,,,,,,,,,,,,100,"аан, аал","аан, аал",священный,11,adj,духовная культура,"аан эбэ уута
аал уоту аһат","аан эбэ уута
аал уоту аһат","вода священной реки
покорми священный огонь",
,,,,,,,,,,,,,,,,,,,,,50,кэрт,быс,резать,12,v,,көтөгүүтэ кэрт,килиэби быс,порежь хлеб,
,,,,,,,,,,,,,,,,,,,,,100,быс,быс,резать,12,v,,быа ортотунан быспыттар,быа ортотунан быспыттар,они разрезали верёвку по середине,
,,,,,,,,,,,,,,,1,,,,13,15,87,кайыт,хайыт,"1. рвать
2. колоть, рубить",12,v,,"һамагым кайдыбыт
бууста кайдан кииллэр","самаҕым хайдыбыт
мууста хайдан киллэр","мои штаны порвались в паху
поколи лёд и занеси его внутрь",
,,,,,,,,,,,,,,,,,,,,,0,абырат,кэрт,"колоть, рубить",12,v,,мастыыр онтон маһы абыратар,мастыыр онтон маһы кэрдэр,"собирает дрова, а потом колет",
,,,,,,,,,,,,,,,,,,,,,100,кэрт,кэрт,"колоть, рубить",12,v,,олорор мутуккутун кэрдимэӈ,олорор мутуккутун кэрдимэҥ,"не рубите сук, на котором сидите",
,,,,,,,,,,,,,,,,,,,,,0,ньиптэ <sup>эвенк</sup>,,"1. дровница; место для рубки дров
2. подстилка для разделывания и мяса",12,n,,ыт ньиптэттэн кааны һалаан кээспитэ,,собака слезала кровь с места разделки туши,
,,,,,,,,,,,,,,,,,,1,24,24,100,абырактаа,абырахтаа,чинить,13,v,,илими абырактыы һатаабаппын,илими абырахтыы сатаабаппын,я не умею чинить сеть,
,,,,,,,,,,,,,,,,,,,,,100,абырат,абырат,"получить помощь, просить спасения",13,v,,ойуӈӈа абырата барыам,ойууҥҥа абырата барыаҕым,пойду искать спасения у шамана,
,,,,,,,,,,,,,,,,,,,,,100,агабыт,аҕабыт,"батюшка, священник",14,n,духовная культура,агабыт огону һүрэхтээбитэ,аҕабыт оҕону сүрэхтээбитэ,священник покрестил ребёнка,1
,,,,,,,,,,,,,,,,,,,,,0,агараан <sup>эвенк</sup>,,отчим,14,n,отношения,минигин агарааным ииппитэ,,меня воспитал отчим,1
,,,,,,,,,,,,,,,,,,,,,0,,кииринньэҥ аҕа,отчим,14,n,отношения,,,,
,,,,,,,,,,,,,,,,,,,,,0,,маачаха <sup>рус</sup> аҕа,отчим,14,n,отношения,,,,1
,,,,,,,,,,,,,,,,,1,,,,0,тээтэ <sup>рус</sup> (ниж.),,"отец, папа",14,n,отношения,,,,
,,,,,,,,,,,,,,,,,1,,,,100,ага (верх.),аҕа,"отец, папа",14,n,отношения,аганаагым кэллилэр (верх.),аҕалааҕым кэллилэр,приехал мой отец с семьей,
,,,,,,,,,,,,,,,,,,,,,0,иньэрээн <sup>эвенк</sup>,,мачеха,14,n,отношения,,,,
,,,,,,,,,,,,,,,,,,,,,0,,кииринньэҥ ийэ,мачеха,14,n,отношения,,,,
,,,,,,,,,,,,,,,,,,,,,0,,маачаха <sup>рус</sup> ийэ,мачеха,14,n,отношения,,,,1
,,,,,,,,1,,,,,,,,,,,8,9,89,иньэ,ийэ,"мать, мама",14,n,отношения,,,,
,,,,,,,,,,,,,,,,,1,,14,15,93,агыйаа,аҕыйаа,"становиться меньше, уменьшаться",15,v,,һакалыыр киһи агыйаабыт,сахалыыр киһи аҕыйаабыт,"людей, говорящих на долганском/якутском, поубавилось",
,,,,,,,,,,,,,,,,,1,1,13,15,87,агыйак,аҕыйах,малый (по количеству),15,adj,,агыйак табалаак киһи,аҕыйах табалаах киһи,малооленный человек,
,,,,,,,,,,,,,,,,,1,1,26,27,96,агыйактык,аҕыйахтык,мало,15,adv,наречие,агыйактык эттэ уур,аҕыйахтык эттэ уур,положи немного мяса,
,,,,,,,,,,,,,,,,,1,1,23,24,96,агыйактыы,аҕыйахтыы,"помалу, понемногу",15,adv,наречие,барыкааммытыгар агыйактыы төлөөбүттэрэ,барыбытыгар аҕыйахтыы төлөөбүттэрэ,нам всем заплатили по чуть-чуть,
,,,,,,,,,,,,,,,,,1,,14,15,93,агылаа,аҕылаа,"запыхаться, тяжело дышать",16,v,организм,агылыы-агылыы ыттар,аҕылыы-аҕылыы ытар,"он поднимается, тяжело дыша",
,,,,,,,,,,,,,,,,,1,,11,12,92,агыс,аҕыс,восемь,17,num,числительное,агыстарбыт,аҕыстарбыт,нас восемь,
,,,,,1,,,,,,,,,,,,,,,,0,агыскаан,ахсыайах,"только восемь, восьмеро",17,num,числительное,,,,
,,,,,1,,,,,,,,,,,,1,,16,18,89,агыһуон,аҕыс уон,восемьдесят,17,num,числительное,огонньор агыһуонугар һугаһаабыт,оҕонньор аҕыс уонугар чугаһаабыт,старик приближался к своим восьмидесяти,
,,,,,2,,,,,,,,,,,,1,1,16,27,59,агыһуоннаак,аҕыс уонус,восьмидесятые,17,n,числительное,агыһуоннаак дьылларга улааппытым,аҕыс уонус сылларга улааппытым,я вырос в восьмидесятые годы,
,,,,,s,,,,,,,,,,,,,,12,15,80,аксыан,ахсыа,восьмеро,17,num,числительное,,биһиги ахсыабыт,нас восьмеро,
,,,,,,,,,,,,,,,,,,1,15,15,100,аксыан,ахсыан,восьмеро,17,num,числительное,биһиги аксыаммыт,биһиги ахсыаммыт,нас восьмеро,
,,,,,,,,,,,,,,,,,,1,15,15,100,аксыс,ахсыс,восьмой,17,num,числительное,һырай һылыйар аксыс күнэ,кулун тутар ахсыс күнэ,восьмое марта,
,,,,,,,,,,,,,,,,,,,,,100,аара,аара,по пути,18,adv,наречие,аара токтоомо,аара тохтоомо,не останавливайся по пути,
,,,,,,,,,,,,,,,,,,,,,100,айан,айан,"путешествие, езда",18,n,глаголы движения,кыыл айана,кыыл айана,миграция дикого оленя,
,,,,,,,,,,,,,,,,,,,,,100,айаннаа,айаннаа,"путешествовать, ехать",18,v,глаголы движения,көс табалар айанныыллар,көс табалар айанныыллар,стадные олени идут,
,,,,,,,,,,,,,,,,,,1,5,6,83,ак,ах,"прогорклость, привкус",19,n,вкус,ак һыттаак,ах сыттаах,пахнет прогорклым,
,,,,,,,,,,,,,,,,,,2,14,15,93,актаак,ахтаах,"прогорклый, имеющий привкус",19,adj,вкус,актаак арыы,ахтаах арыы,прогорклое масло,
,,,,,,,,,,,,,,,,,,,,,0,алакии,өтүрдьэх,ползунки для детей от рождения до трёх лет с овальным вырезом для гигиенических нужд,20,n,дети,ого алакиита илийбит,оҕо өтүрдьэҕэ илийбит,у ребёнка ползунки промокли,
,,,,,,,,,,,,,,,,,,,,,50,аӈаарый,аҥаарый,"видеть кошмары (һакалыы)
быть сонным (сахалыы)",21,v,,аӈаарыйа һытар,аҥаарыйа сытар,"он видит кошмары
он сонный",
,,,,,r,,,,,,,,,,,,,,11,12,92,ыттын,ытын,подниматься,22,v,,кайага ыттар,хайаҕа ытар,он поднимается на гору,
,,,,,,,,,,,,,,,,,,,,,0,биэк <sup>рус</sup>,,"всё время, постоянно, всегда",23,adv,наречие,гини биэк койутаан турар,,он всегда встаёт поздно,
,,,,,,,,,,,,,,,,,,,,,0,,наар,"всё время, постоянно, всегда",23,adv,наречие,,,,
,,,,,,,,,,,,,,,,,,,,,0,,куруук,"всё время, постоянно, всегда",23,adv,наречие,,манна куруук тымныы,здесь всегда холодно,
,,,,,,,,,,,,,,,,,,,,,0,,мэлдьи,"всё время, постоянно, всегда",23,adv,наречие,,манна мэлдьи сылдьар,он всегда здесь бывает,
,,,,,,,,,,,,,,,,,,,,,0,,өрүү,"всё время, постоянно, всегда",23,adv,наречие,,өрүү тыалырар,постоянно дует ветер,
